,Active Players,Age,Pos.,Status,Adj. Salary
1150,Mark Payton,30,LF,Pre-Arb,"$53,844"
1176,Jordan Lyles,31,SP,Vet,"$6,000,000"
1177,Anthony Santander,27,RF,Arb 2,"$3,150,000"
1178,Robinson Chirinos,38,C,Vet,"$900,000"
1179,Cedric Mullins,27,CF,Pre-Arb,"$716,500"
1180,Austin Hays,26,LF,Pre-Arb,"$713,000"
1181,Dillon Tate,28,RP,Pre-Arb,"$711,500"
1182,Ryan Mountcastle,25,1B,Pre-Arb,"$711,000"
1183,Jorge Mateo,27,SS,Pre-Arb,"$709,500"
1184,Dean Kremer,26,SP,Pre-Arb,"$705,500"
1185,Cionel Perez,26,RP,Pre-Arb,"$705,000"
1186,Keegan Akin,27,RP,Pre-Arb,"$701,640"
1187,Bryan Baker,27,RP,Pre-Arb,"$700,500"
1188,Rougned Odor,28,2B,Vet,"$700,000"
1189,Ryan McKenna,25,CF,Pre-Arb,"$669,164"
1190,Kyle Bradish,25,SP,Pre-Arb,"$615,360"
1191,Austin Voth,30,SP,Arb 1,"$576,960"
1192,Spenser Watkins,29,SP,Pre-Arb,"$557,670"
1193,Adley Rutschman,24,C,Pre-Arb,"$526,902"
1194,Tyler Nevin,25,3B,Pre-Arb,"$465,366"
1195,Terrin Vavra,25,SS,Pre-Arb,"$273,066"
1196,Mike Baumann,26,RP,Pre-Arb,"$223,416"
1197,Anthony Bemboom,32,C,Pre-Arb,"$210,000"
1198,Kyle Stowers,24,CF,Pre-Arb,"$196,146"
1199,Logan Gillaspie,25,RP,Pre-Arb,"$173,070"
1200,D.L. Hall,23,RP,Pre-Arb,"$138,456"
1201,Gunnar Henderson,21,SS,Pre-Arb,"$134,610"
1202,Jesus Aguilar,32,1B,Arb 3,"$130,764"
1203,Yennier Cano,28,RP,Pre-Arb,"$30,768"
1204,Salvador Perez,32,C,Vet,"$18,000,000"
1205,Zack Greinke,38,SP,Vet,"$13,000,000"
1206,Brad Keller,26,RP,Arb 2,"$4,825,000"
1207,Hunter Dozier,30,1B,Vet,"$4,750,000"
1208,Michael Taylor,31,CF,Vet,"$4,650,000"
1209,Nicholas Lopez,27,3B,Arb 1,"$2,550,000"
1210,Scott Barlow,29,RP/CL,Arb 1,"$2,400,000"
1211,Amir Garrett,30,RP,Arb 2,"$2,025,000"
1212,Ryan O'Hearn,28,1B,Arb 1,"$1,300,000"
1213,Luke Weaver,28,RP,Arb 2,"$1,026,786"
1214,Edward Olivares,26,OF,Pre-Arb,"$705,500"
1215,Daniel Lynch,25,SP,Pre-Arb,"$703,600"
1216,Dylan Coleman,25,RP,Pre-Arb,"$700,650"
1217,Bobby Witt Jr.,22,SS,Pre-Arb,"$700,000"
1218,Kyle Isbel,25,RF,Pre-Arb,"$694,260"
1219,Brady Singer,25,SP,Pre-Arb,"$650,370"
1220,Kris Bubic,24,SP,Pre-Arb,"$643,208"
1221,MJ Melendez,23,DH,Pre-Arb,"$603,822"
1222,Jon Heasley,25,SP,Pre-Arb,"$473,058"
1223,Collin Snider,26,RP,Pre-Arb,"$411,522"
1224,Carlos Hernandez,25,RP,Pre-Arb,"$404,976"
1225,Vinnie Pasquantino,24,1B,Pre-Arb,"$384,600"
1226,Sebastian Rivero,23,C,Pre-Arb,"$265,374"
1227,Michael Massey,24,2B,Pre-Arb,"$257,682"
1228,Nathan Eaton,25,C,Pre-Arb,"$211,530"
1229,Drew Waters,23,OF,Pre-Arb,"$169,224"
1230,Anthony Misiewicz,27,RP,Pre-Arb,"$164,976"
1231,Maximo Castillo,23,RP,Pre-Arb,"$57,690"
2135,Madison Bumgarner,32,SP,Vet,"$18,000,000"
2136,Mark Melancon,37,RP/CL,Vet,"$7,000,000"
2137,Merrill Kelly,33,SP,Vet,"$5,583,333"
2138,Ian Kennedy,37,RP,Vet,"$4,500,000"
2139,Carson Kelly,27,C,Arb 2,"$3,325,000"
2140,Christian Walker,31,1B,Arb 1,"$2,600,000"
2141,Caleb Smith,30,RP,Arb 2,"$2,000,000"
2142,Zach Davies,29,SP,Vet,"$1,500,000"
2143,Jordan Luplow,28,OF,Arb 1,"$1,400,000"
2144,Zac Gallen,26,SP,Pre-Arb,"$745,600"
2145,Josh Rojas,28,3B,Pre-Arb,"$730,900"
2146,Daulton Varsho,25,CF,Pre-Arb,"$721,700"
2147,Joe Mantiply,31,RP,Pre-Arb,"$717,000"
2148,Geraldo Perdomo,22,SS,Pre-Arb,"$701,300"
2149,Jake McCarthy,24,OF,Pre-Arb,"$528,683"
2150,Cooper Hummel,27,DH,Pre-Arb,"$523,056"
2151,Sean Poppen,28,RP,Pre-Arb,"$406,026"
2152,Pavin Smith,26,RF,Pre-Arb,"$393,228"
2153,Reyes Moronta,29,RP,Arb 2,"$362,648"
2154,Sergio Alcantara,25,3B,Pre-Arb,"$360,180"
2155,Kevin Ginkel,28,RP,Pre-Arb,"$246,144"
2156,Jake Hager,29,OF,Pre-Arb,"$215,376"
2157,Buddy Kennedy,23,3B,Pre-Arb,"$196,146"
2158,Stone Garrett,26,OF,Pre-Arb,"$188,454"
2159,Tommy Henry,24,SP,Pre-Arb,"$184,608"
2160,Taylor Widener,27,RP,Pre-Arb,"$161,532"
2161,Corbin Carroll,21,CF,Pre-Arb,"$142,302"
2162,Drey Jameson,24,SP,Pre-Arb,"$76,920"
2163,Avisail Garcia,31,RF,Vet,"$12,000,000"
2164,Miguel Rojas,33,SS,Vet,"$5,500,000"
2165,Joe Wendle,32,3B,Arb 2,"$4,550,000"
2166,Brian Anderson,29,3B,Arb 2,"$4,475,000"
2167,Sandy Alcantara,26,SP,Vet,"$3,800,000"
2168,Dylan Floro,31,RP/CL,Arb 2,"$3,000,000"
2169,Pablo Lopez,26,SP,Arb 1,"$2,450,000"
2170,Jacob Stallings,32,C,Arb 2,"$2,450,000"
2171,Richard Bleier,35,RP,Vet,"$2,250,000"
2172,Elieser Hernandez,27,RP,Arb 1,"$1,325,000"
2173,Jon Berti,32,3B,Arb 1,"$1,200,000"
2174,Tanner Scott,27,RP,Arb 1,"$1,050,000"
2175,Jesus Luzardo,24,SP,Pre-Arb,"$715,000"
2176,Bryan De La Cruz,25,CF,Pre-Arb,"$643,914"
2177,Tommy Nance,31,RP,Pre-Arb,"$515,364"
2178,Nick Fortes,25,C,Pre-Arb,"$503,826"
2179,Jesus Sanchez,24,CF,Pre-Arb,"$490,896"
2180,Braxton Garrett,24,SP,Pre-Arb,"$430,752"
2181,Lewin Diaz,25,1B,Pre-Arb,"$292,296"
2182,J.J. Bleday,24,OF,Pre-Arb,"$284,604"
2183,Huascar Brazoban,32,RP,Pre-Arb,"$280,758"
2184,Charles Leblanc,26,SS,Pre-Arb,"$261,528"
2185,Jeff Brigham,30,RP,Pre-Arb,"$207,684"
2186,Andrew Nardi,23,RP,Pre-Arb,"$199,992"
2187,Peyton Burdick,25,CF,Pre-Arb,"$176,916"
2188,Jake Fishman,27,RP,Pre-Arb,"$103,842"
2189,Bryan Hoeing,25,RP,Pre-Arb,"$99,996"
2190,Jordan Groshans,22,SS,Pre-Arb,"$84,612"
2221,Christian Yelich,30,LF,Vet,"$22,000,000"
2222,Kolten Wong,31,2B,Vet,"$8,500,000"
2223,Andrew McCutchen,35,DH,Vet,"$8,500,000"
2224,Hunter Renfroe,30,RF,Arb 3,"$7,650,000"
2225,Brandon Woodruff,29,SP,Arb 2,"$6,800,000"
2226,Corbin Burnes,27,SP,Arb 1,"$6,500,000"
2227,Omar Narvaez,30,C,Arb 3,"$5,000,000"
2228,Willy Adames,26,SS,Arb 1,"$4,600,000"
2229,Brent Suter,32,RP,Arb 2,"$2,700,000"
2230,Luis Urias,25,2B,Pre-Arb,"$2,550,000"
2231,Freddy Peralta,26,SP,Vet,"$2,484,960"
2232,Eric Lauer,27,SP,Arb 1,"$2,425,000"
2233,Victor Caratini,28,C,Arb 2,"$2,000,000"
2234,Rowdy Tellez,27,1B,Arb 1,"$1,940,000"
2235,Jace Peterson,32,3B,Arb 4,"$1,825,000"
2236,Brad Boxberger,34,RP,Vet,"$1,750,000"
2237,Trevor Gott,29,RP,Arb 1,"$725,000"
2238,Devin Williams,27,RP/CL,Pre-Arb,"$714,500"
2239,Tyrone Taylor,28,CF,Pre-Arb,"$711,100"
2240,Hoby Milner,31,RP,Arb 1,"$705,100"
2241,Aaron Ashby,24,SP,Pre-Arb,"$704,500"
2242,Michael Brosseau,28,3B,Pre-Arb,"$698,580"
2243,Keston Hiura,25,2B,Pre-Arb,"$592,722"
2244,Jake Cousins,27,RP,Pre-Arb,"$570,507"
2245,Jason Alexander,29,RP,Pre-Arb,"$392,292"
2246,Peter Strzelecki,27,RP,Pre-Arb,"$303,834"
2247,Taylor Rogers,31,RP,Arb 4,"$250,000"
2248,Garrett Mitchell,23,OF,Pre-Arb,"$149,994"
2249,Patrick Corbin,32,SP,Vet,"$23,416,666"
2250,Nelson Cruz,41,DH,Vet,"$12,000,000"
2251,Cesar Hernandez,32,2B,Vet,"$4,500,000"
2252,Erick Fedde,29,SP,Arb 1,"$2,150,000"
2253,Steve Cishek,36,RP,Vet,"$2,000,000"
2254,Anibal Sanchez,38,SP,Vet,"$2,000,000"
2255,Luke Voit,31,DH,Arb 2,"$1,916,480"
2256,Victor Robles,25,CF,Arb 1,"$1,650,000"
2257,Kyle Finnegan,30,RP/CL,Pre-Arb,"$725,900"
2258,Lane Thomas,26,CF,Pre-Arb,"$723,600"
2259,Paolo Espino,35,SP,Pre-Arb,"$716,200"
2260,Josiah Gray,24,SP,Pre-Arb,"$703,500"
2261,Joey Meneses,30,1B,Pre-Arb,"$700,000"
2262,Hunter Harvey,27,RP,Pre-Arb,"$661,512"
2263,Erasmo Ramirez,32,RP,Vet,"$646,128"
2264,C.J. Edwards,30,RP,Arb 4,"$569,208"
2265,Andres Machado,29,RP,Pre-Arb,"$552,522"
2266,Mason Thompson,24,RP,Pre-Arb,"$524,688"
2267,Riley Adams,26,C,Pre-Arb,"$500,907"
2268,Luis Garcia,22,SS,Pre-Arb,"$484,596"
2269,Tres Barrera,27,C,Pre-Arb,"$334,602"
2270,Jordan Weems,29,RP,Pre-Arb,"$288,450"
2271,Cory Abbott,26,SP,Pre-Arb,"$257,682"
2272,Ildemaro Vargas,30,2B,Pre-Arb,"$246,144"
2273,Joshua Palacios,26,CF,Pre-Arb,"$223,590"
2274,Alex Call,27,OF,Pre-Arb,"$199,992"
2275,CJ Abrams,21,SS,Pre-Arb,"$196,146"
2276,Israel Pineda,22,C,Pre-Arb,"$99,996"
3119,Marcus Stroman,31,SP,Vet,"$25,000,000"
3120,Wade Miley,35,SP,Vet,"$10,000,000"
3121,Willson Contreras,30,C,Arb 3,"$9,625,000"
3122,Seiya Suzuki,27,RF,Vet,"$8,000,000"
3123,Ian Happ,27,LF,Arb 2,"$6,850,000"
3124,Yan Gomes,34,C,Vet,"$6,000,000"
3125,Drew Smyly,33,SP,Vet,"$4,250,000"
3126,David Bote,29,2B,Vet,"$2,510,000"
3127,Franmil Reyes,26,DH,Arb 1,"$1,450,000"
3128,Patrick Wisdom,30,3B,Pre-Arb,"$730,000"
3129,Rowan Wick,29,RP,Pre-Arb,"$724,000"
3130,Nico Hoerner,25,SS,Pre-Arb,"$720,000"
3131,Adbert Alzolay,27,RP,Pre-Arb,"$718,250"
3132,Keegan Thompson,27,SP,Pre-Arb,"$706,000"
3133,Javier Assad,24,SP,Pre-Arb,"$700,000"
3134,Alfonso Rivas,25,1B,Pre-Arb,"$562,684"
3135,Michael Rucker,28,RP,Pre-Arb,"$548,120"
3136,Christopher Morel,23,CF,Pre-Arb,"$542,286"
3137,Brandon Hughes,26,RP/CL,Pre-Arb,"$538,440"
3138,P.J. Higgins,29,C,Pre-Arb,"$523,056"
3139,Manuel Rodriguez,25,RP,Pre-Arb,"$484,596"
3140,Mark Leiter Jr.,31,RP,Pre-Arb,"$457,674"
3141,Nelson Velazquez,23,OF,Pre-Arb,"$419,214"
3142,Adrian Sampson,30,SP,Pre-Arb,"$415,368"
3143,Erich Uelmen,26,RP,Pre-Arb,"$307,680"
3144,Zach McKinstry,27,SS,Pre-Arb,"$261,528"
3145,Hayden Wesneski,24,SP,Pre-Arb,"$115,380"
3146,Esteban Quiroz,30,2B,Pre-Arb,"$69,228"
3147,Jose Ramirez,29,3B,Vet,"$22,000,000"
3148,Shane Bieber,27,SP,Arb 1,"$6,000,000"
3149,Amed Rosario,26,SS,Arb 2,"$4,950,000"
3150,Austin Hedges,29,C,Arb 4,"$4,000,000"
3151,Cal Quantrill,27,SP,Arb 1,"$2,510,000"
3152,Zach Plesac,27,SP,Pre-Arb,"$2,000,000"
3153,Emmanuel Clase,24,RP/CL,Vet,"$1,900,000"
3154,Myles Straw,27,CF,Vet,"$1,650,000"
3155,Josh Naylor,25,1B,Pre-Arb,"$1,200,000"
3156,Luke Maile,31,C,Arb 3,"$900,000"
3157,Aaron Civale,27,SP,Pre-Arb,"$716,900"
3158,James Karinchak,26,RP,Pre-Arb,"$710,606"
3159,Triston McKenzie,24,SP,Pre-Arb,"$707,100"
3160,Andres Gimenez,23,2B,Pre-Arb,"$706,600"
3161,Trevor Stephan,26,RP,Pre-Arb,"$703,400"
3162,Sam Hentges,25,RP,Pre-Arb,"$702,500"
3163,Eli Morgan,26,RP,Pre-Arb,"$702,100"
3164,Owen Miller,25,1B,Pre-Arb,"$701,100"
3165,Steven Kwan,24,LF,Pre-Arb,"$700,000"
3166,Cody Morris,25,SP,Pre-Arb,"$700,000"
3167,Nick Sandlin,25,RP,Pre-Arb,"$647,640"
3168,Enyel De Los Santos,26,RP,Pre-Arb,"$642,282"
3169,Oscar Gonzalez,24,RF,Pre-Arb,"$507,672"
3170,Will Benson,24,OF,Pre-Arb,"$249,990"
3171,Kirk McCarty,26,RP,Pre-Arb,"$165,378"
3172,Gabriel Arias,22,SS,Pre-Arb,"$65,382"
3173,Will Brennan,24,CF,Pre-Arb,"$53,844"
3174,Bo Naylor,22,C,Pre-Arb,"$15,384"
3175,Mike Trout,30,CF,Vet,"$37,116,666"
3176,Anthony Rendon,32,3B,Vet,"$36,571,428"
3177,Aaron Loup,34,RP,Vet,"$7,500,000"
3178,Ryan Tepera,34,RP,Vet,"$7,000,000"
3179,Michael Lorenzen,30,SP,Vet,"$6,750,000"
3180,Shohei Ohtani,27,SP,Arb 2,"$5,500,000"
3181,David Fletcher,28,SS,Vet,"$4,000,000"
3182,Max Stassi,31,C,Vet,"$3,000,000"
3183,Kurt Suzuki,38,C,Vet,"$1,750,000"
3184,Matt Duffy,31,3B,Arb 4,"$1,500,000"
3185,Jaime Barria,25,RP,Pre-Arb,"$730,000"
3186,Jimmy Herget,28,RP,Pre-Arb,"$720,000"
3187,Jose Quijada,26,RP/CL,Pre-Arb,"$720,000"
3188,Patrick Sandoval,25,SP,Pre-Arb,"$720,000"
3189,Taylor Ward,28,RF,Pre-Arb,"$720,000"
3190,Reid Detmers,22,SP,Pre-Arb,"$647,566"
3191,Luis Rengifo,25,2B,Pre-Arb,"$576,900"
3192,Andrew Wantz,26,RP,Pre-Arb,"$546,132"
3193,Jose Suarez,24,SP,Pre-Arb,"$538,016"
3194,Jordon Adell,23,RF,Pre-Arb,"$478,676"
3195,Tucker Davidson,26,SP,Pre-Arb,"$249,664"
3196,Michael Stefanic,26,2B,Pre-Arb,"$180,762"
3197,Matt Thaiss,27,1B,Pre-Arb,"$176,916"
3198,Zack Weiss,30,RP,Pre-Arb,"$130,764"
3199,Livan Soto,22,SS,Pre-Arb,"$73,074"
3200,Rob Zastryzny,30,RP,Pre-Arb,"$57,690"
3201,Logan O'Hoppe,22,C,Pre-Arb,"$26,922"
3202,Nash Walters,25,SP,Pre-Arb,"$23,076"
4045,Jose Altuve,32,2B,Vet,"$29,000,000"
4046,Justin Verlander,39,SP,Vet,"$25,000,000"
4047,Lance McCullers,28,SP,Vet,"$15,833,333"
4048,Alex Bregman,28,3B,Vet,"$12,666,666"
4049,Ryan Pressly,33,RP/CL,Vet,"$10,000,000"
4050,Yulieski Gurriel,38,1B,Vet,"$8,000,000"
4051,Hector Neris,33,RP,Vet,"$8,000,000"
4052,Martin Maldonado,35,C,Vet,"$5,000,000"
4053,Will Smith,32,RP,Vet,"$4,642,857"
4054,Aledmys Diaz,31,SS,Arb 3,"$4,450,000"
4055,Framber Valdez,28,SP,Arb 1,"$3,000,000"
4056,Rafael Montero,31,RP,Arb 4,"$2,725,000"
4057,Trey Mancini,30,1B,Vet,"$2,678,585"
4058,Christian Vazquez,31,C,Vet,"$2,461,568"
4059,Ryne Stanek,30,RP,Arb 2,"$2,100,000"
4060,Phil Maton,29,RP,Arb 2,"$1,550,000"
4061,Luis Garcia,25,SP,Pre-Arb,"$1,251,500"
4062,Yordan Alvarez,25,DH,Pre-Arb,"$764,600"
4063,Kyle Tucker,25,RF,Pre-Arb,"$764,200"
4064,Cristian Javier,25,SP,Pre-Arb,"$749,100"
4065,Jose Urquidy,27,SP,Pre-Arb,"$748,700"
4066,Bryan Abreu,25,RP,Pre-Arb,"$719,600"
4067,Jeremy Pena,24,SS,Pre-Arb,"$700,000"
4068,Chas McCormick,27,CF,Pre-Arb,"$696,060"
4069,Jake Meyers,26,OF,Pre-Arb,"$589,504"
4070,Mauricio Dubon,27,CF,Pre-Arb,"$565,776"
4071,David Hensley,26,SS,Pre-Arb,"$176,916"
4072,Hunter Brown,23,RP,Pre-Arb,"$130,764"
4073,Corey Seager,28,SS,Vet,"$33,000,000"
4074,Marcus Semien,31,2B,Vet,"$25,000,000"
4075,Jon Gray,30,SP,Vet,"$15,000,000"
4076,Jose Leclerc,28,RP/CL,Vet,"$5,250,000"
4077,Kole Calhoun,34,LF,Vet,"$5,200,000"
4078,Martin Perez,31,SP,Vet,"$4,000,000"
4079,Matt Moore,33,RP,Vet,"$2,311,852"
4080,Charlie Culberson,33,3B,Vet,"$1,750,000"
4081,Taylor Hearn,27,RP,Pre-Arb,"$911,502"
4082,Jonathan Hernandez,25,RP,Pre-Arb,"$720,000"
4083,Dennis Santana,26,RP,Pre-Arb,"$720,000"
4084,Nate Lowe,26,1B,Pre-Arb,"$716,000"
4085,Brock Burke,25,RP,Pre-Arb,"$714,000"
4086,Adolis Garcia,29,RF,Pre-Arb,"$714,000"
4087,Jonah Heim,27,C,Pre-Arb,"$714,000"
4088,Joe Barlow,26,RP,Pre-Arb,"$704,000"
4089,Kevin Plawecki,31,C,Arb 4,"$700,000"
4090,Glenn Otto,26,SP,Pre-Arb,"$642,282"
4091,John King,27,RP,Pre-Arb,"$509,990"
4092,Leodys Taveras,23,CF,Pre-Arb,"$438,444"
4093,Josh Smith,24,3B,Pre-Arb,"$426,906"
4094,Sam Huff,24,C,Pre-Arb,"$311,526"
4095,Bubba Thompson,24,OF,Pre-Arb,"$238,452"
4096,Mark Mathias,27,2B,Pre-Arb,"$192,300"
4097,Jesus Tinoco,27,RP,Pre-Arb,"$165,378"
4098,Josh Jung,24,3B,Pre-Arb,"$99,996"
4099,A.J. Alexy,24,RP,Pre-Arb,"$73,074"
4100,Yerry Rodriguez,24,SP,Pre-Arb,"$15,384"
4129,George Springer,32,CF,Vet,"$29,666,666"
4130,Kevin Gausman,31,SP,Vet,"$21,000,000"
4131,Yusei Kikuchi,31,RP,Pre-Arb,"$16,000,000"
4132,Matt Chapman,29,3B,Vet,"$12,500,000"
4133,Jose Berrios,28,SP,Vet,"$10,714,285"
4134,Teoscar Hernandez,29,DH,Arb 2,"$10,650,000"
4135,Vladimir Guerrero Jr.,23,1B,Arb 1,"$7,900,000"
4136,Yimi Garcia,31,RP,Vet,"$5,500,000"
4137,Raimel Tapia,28,RF,Arb 2,"$3,950,000"
4138,Ross Stripling,32,SP,Arb 3,"$3,790,000"
4139,David Phelps,35,RP,Vet,"$3,500,000"
4140,Whit Merrifield,33,2B,Vet,"$2,461,568"
4141,Cavan Biggio,27,2B,Arb 1,"$2,122,500"
4142,Danny Jansen,27,C,Arb 1,"$1,950,000"
4143,Adam Cimber,31,RP,Arb 2,"$1,575,000"
4144,Tim Mayza,30,RP,Arb 1,"$1,250,000"
4145,Anthony Bass,34,RP,Vet,"$1,054,976"
4146,Trevor Richards,29,RP,Arb 1,"$1,000,000"
4147,Bo Bichette,24,SS,Pre-Arb,"$825,000"
4148,Alek Manoah,24,SP,Pre-Arb,"$730,000"
4149,Santiago Espinal,27,2B,Pre-Arb,"$723,550"
4150,Alejandro Kirk,23,C,Pre-Arb,"$714,000"
4151,Jordan Romano,29,RP/CL,Pre-Arb,"$710,400"
4152,Trent Thornton,28,RP,Arb 1,"$384,120"
4153,Bradley Zimmer,29,CF,Arb 1,"$264,291"
4154,Gabriel Moreno,22,C,Pre-Arb,"$226,914"
4155,Jackie Bradley Jr.,32,CF,Vet,"$219,222"
4156,Zach Pop,25,RP,Pre-Arb,"$192,300"
4157,Otto Lopez,23,SS,Pre-Arb,"$100,022"
5195,Manny Machado,29,3B,Vet,"$32,000,000"
5196,Wil Myers,31,RF,Vet,"$22,500,000"
5197,Yu Darvish,35,SP,Vet,"$20,000,000"
5198,Blake Snell,29,SP,Vet,"$13,100,000"
5199,Sean Manaea,30,SP,Arb 4,"$9,750,000"
5200,Joe Musgrove,29,SP,Arb 3,"$8,625,000"
5201,Mike Clevinger,31,SP,Vet,"$8,500,000"
5202,Jurickson Profar,29,LF,Vet,"$7,333,333"
5203,Ha-seong Kim,26,SS,Pre-Arb,"$7,000,000"
5204,Juan Soto,23,RF,Arb 2,"$6,013,184"
5205,Nick Martinez,31,RP,Vet,"$6,000,000"
5206,Robert Suarez,31,RP,Pre-Arb,"$6,000,000"
5207,Craig Stammen,38,RP,Vet,"$4,000,000"
5208,Josh Hader,28,RP/CL,Arb 3,"$3,989,011"
5209,Josh Bell,29,1B,Arb 3,"$3,516,480"
5210,Luis Garcia,35,RP,Vet,"$3,250,000"
5211,Pierce Johnson,31,RP,Pre-Arb,"$3,000,000"
5212,Jorge Alfaro,29,C,Arb 2,"$2,725,000"
5213,Tim Hill,32,RP,Arb 1,"$1,325,000"
5214,Jake Cronenworth,28,2B,Pre-Arb,"$757,200"
5215,Trent Grisham,25,CF,Pre-Arb,"$729,300"
5216,Austin Nola,32,C,Pre-Arb,"$726,900"
5217,Adrian Morejon,23,RP,Pre-Arb,"$704,500"
5218,Steven Wilson,27,RP,Pre-Arb,"$665,358"
5219,Nabil Crismatt,27,RP,Pre-Arb,"$634,240"
5220,Jose Azocar,26,OF,Pre-Arb,"$561,516"
5221,Brandon Drury,29,3B,Arb 4,"$316,480"
5222,Luis Campusano,23,C,Pre-Arb,"$180,762"
5223,Brandon Dixon,30,1B,Arb 1,"$30,768"
8287,Max Scherzer,37,SP,Vet,"$43,333,333"
8288,Mike Trout,30,CF,Vet,"$37,116,666"
8289,Anthony Rendon,32,3B,Vet,"$36,571,428"
8290,Gerrit Cole,31,SP,Vet,"$36,000,000"
8291,Carlos Correa,27,SS,Vet,"$35,100,000"
8292,Francisco Lindor,28,SS,Vet,"$34,100,000"
8293,Corey Seager,28,SS,Vet,"$33,000,000"
8294,Miguel Cabrera,39,DH,Vet,"$32,000,000"
8295,Manny Machado,29,3B,Vet,"$32,000,000"
8296,George Springer,32,CF,Vet,"$29,666,666"
8297,Nolan Arenado,31,3B,Vet,"$29,429,500"
8298,Jose Altuve,32,2B,Vet,"$29,000,000"
8299,Giancarlo Stanton,32,RF,Vet,"$29,000,000"
8300,Bryce Harper,29,DH,Vet,"$27,538,462"
8301,Freddie Freeman,32,1B,Vet,"$27,000,000"
8302,Paul Goldschmidt,34,1B,Vet,"$26,250,000"
8303,Zack Wheeler,32,SP,Vet,"$26,000,000"
8304,Marcus Stroman,31,SP,Vet,"$25,000,000"
8305,Justin Verlander,39,SP,Vet,"$25,000,000"
8306,Marcus Semien,31,2B,Vet,"$25,000,000"
8307,J.T. Realmuto,31,C,Vet,"$23,875,000"
8308,Patrick Corbin,32,SP,Vet,"$23,416,666"
8309,Josh Donaldson,36,DH,Vet,"$23,000,000"
8310,Mookie Betts,29,RF,Vet,"$22,500,000"
8311,Wil Myers,31,RF,Vet,"$22,500,000"
8312,Jose Ramirez,29,3B,Vet,"$22,000,000"
8313,Christian Yelich,30,LF,Vet,"$22,000,000"
8314,Trea Turner,29,SS,Arb 4,"$21,000,000"
8315,Robbie Ray,30,SP,Vet,"$21,000,000"
8316,Kevin Gausman,31,SP,Vet,"$21,000,000"
8317,Jacob deGrom,34,SP,Vet,"$20,500,000"
8318,Charlie Morton,38,SP,Vet,"$20,000,000"
8319,Xander Bogaerts,29,SS,Vet,"$20,000,000"
8320,Javier Baez,29,SS,Vet,"$20,000,000"
8321,Justin Turner,37,3B,Vet,"$20,000,000"
8322,Nick Castellanos,30,RF,Vet,"$20,000,000"
8323,Yu Darvish,35,SP,Vet,"$20,000,000"
8324,Jose Abreu,35,1B,Vet,"$19,666,668"
8325,J.D. Martinez,34,DH,Vet,"$19,350,000"
8326,Aaron Judge,30,CF,Arb 3,"$19,000,000"
8327,Kyle Schwarber,29,LF,Vet,"$19,000,000"
8328,Lance Lynn,35,SP,Vet,"$18,500,000"
8329,Yasmani Grandal,33,C,Vet,"$18,250,000"
8330,Madison Bumgarner,32,SP,Vet,"$18,000,000"
8331,Salvador Perez,32,C,Vet,"$18,000,000"
8332,Aroldis Chapman,34,RP,Vet,"$18,000,000"
8333,Adam Wainwright,40,SP,Vet,"$17,500,000"
8334,Clayton Kershaw,34,SP,Vet,"$17,300,000"
8335,Nathan Eovaldi,32,SP,Vet,"$17,000,000"
8336,Cody Bellinger,26,CF,Arb 3,"$17,000,000"
8337,Miles Mikolas,33,SP,Vet,"$16,750,000"
8338,Kenley Jansen,34,RP/CL,Vet,"$16,000,000"
8339,Marcell Ozuna,31,DH,Vet,"$16,000,000"
8340,David Price,36,RP,Vet,"$16,000,000"
8341,Craig Kimbrel,34,RP/CL,Vet,"$16,000,000"
8342,Anthony Rizzo,32,1B,Vet,"$16,000,000"
8343,Brandon Crawford,35,SS,Vet,"$16,000,000"
8344,Yusei Kikuchi,31,RP,Pre-Arb,"$16,000,000"
8345,Lance McCullers,28,SP,Vet,"$15,833,333"
8346,Starling Marte,33,RF,Vet,"$15,750,000"
8347,Aaron Nola,29,SP,Vet,"$15,500,000"
8348,Ronald Acuna Jr.,24,RF,Vet,"$15,000,000"
8349,Matt Olson,28,1B,Vet,"$15,000,000"
8350,Chris Taylor,31,LF,Vet,"$15,000,000"
8351,D.J. LeMahieu,33,3B,Vet,"$15,000,000"
8352,Jon Gray,30,SP,Vet,"$15,000,000"
8353,Jean Segura,32,2B,Vet,"$14,850,000"
8354,A.J. Pollock,34,LF,Vet,"$14,500,000"
8355,Eduardo Rodriguez,29,SP,Vet,"$14,000,000"
8356,Yoan Moncada,27,3B,Vet,"$13,800,000"
8357,Liam Hendriks,33,RP/CL,Vet,"$13,333,333"
8358,Blake Snell,29,SP,Vet,"$13,100,000"
8359,Zack Greinke,38,SP,Vet,"$13,000,000"
8360,Max Muncy,31,DH,Vet,"$13,000,000"
8361,Corey Kluber,36,SP,Vet,"$13,000,000"
8362,Alex Bregman,28,3B,Vet,"$12,666,666"
8363,Mark Canha,33,LF,Vet,"$12,666,666"
8364,Matt Chapman,29,3B,Vet,"$12,500,000"
8365,Avisail Garcia,31,RF,Vet,"$12,000,000"
8366,Carlos Carrasco,35,SP,Vet,"$12,000,000"
8367,Nelson Cruz,41,DH,Vet,"$12,000,000"
8368,Luis Severino,28,SP,Vet,"$11,500,000"
8369,German Marquez,27,SP,Vet,"$11,300,000"
8370,Eugenio Suarez,30,3B,Vet,"$11,285,714"
8371,Rafael Devers,25,3B,Arb 2,"$11,200,000"
8372,Aaron Hicks,32,CF,Vet,"$10,785,714"
